"Fecha_vencimiento_carnet_fisico";"Carnet_Nro_afiliado_carnet"
"2024-08-24 03:00:23";289450413
"2024-10-23 09:35:22";363308738
"2025-01-22 09:37:39";538782736
"2024-10-04 14:54:56";665061751
"2025-05-27 22:18:56";718764212
"2024-09-24 12:20:14";739665790
"2025-01-27 10:12:59";746915575
"2025-08-01 20:30:12";769956133
"2025-08-28 19:54:21";808532570
"2025-02-15 08:02:37";1001206916
"2025-06-11 16:12:40";1035442495
"2025-03-30 01:18:08";1059565140
"2025-10-17 10:43:34";1198214922
"2024-12-13 01:23:18";1320567888
"2025-03-24 20:57:13";1966141127
"2025-01-04 22:58:53";1988311530
"2024-07-19 14:52:14";2144811564
"2025-08-03 11:56:55";2146418162
"2025-06-21 02:16:34";2200235846
"2025-09-22 06:34:52";2240471597
"2025-12-24 16:20:41";2318961319
"2024-12-06 14:20:36";2333187798
"2024-07-28 19:58:48";2395975402
"2024-08-19 15:32:38";2405031997
"2025-01-23 16:48:52";2429153793
"2025-05-16 01:42:06";2443050644
"2024-12-26 12:19:51";2452003665
"2024-12-20 02:06:17";2743739682
"2024-11-08 03:30:56";2749137361
"2025-08-27 12:08:58";2783751257
"2025-02-24 22:47:11";2798809131
"2025-10-21 12:27:48";2858624415
"2024-09-24 00:39:25";2866120447
"2025-12-25 17:29:32";2954534438
"2024-12-03 15:27:52";3021129055
"2025-05-11 02:06:49";3049910269
"2024-07-05 16:15:39";3104184654
"2024-11-01 12:50:59";3151187709
"2025-06-08 08:13:33";3643510736
"2024-10-03 00:53:24";3803295735
"2025-07-12 21:31:29";3809393064
"2024-10-07 11:48:34";3935364239
"2025-09-14 17:27:22";3954703031
"2025-01-16 19:01:01";4017735782
"2024-07-06 09:59:34";4063518979
"2024-06-18 09:41:34";4341832904
"2024-12-20 15:31:15";4351118101
"2025-11-25 12:51:19";4370301808
"2025-02-13 12:23:11";4384355724
"2024-10-31 04:59:47";4480192491
"2024-06-30 03:29:17";4517029369
"2025-10-02 09:19:54";4573163205
"2025-08-01 06:19:14";4675288129
"2024-07-06 08:38:59";4912645368
"2024-11-16 23:33:53";4952452878
"2024-11-17 18:46:54";5313520924
"2025-10-18 08:01:03";5376161232
"2025-05-21 19:26:21";5431737655
"2025-07-27 01:53:04";5766068819
"2024-06-19 05:42:02";5843385125
"2024-07-07 11:14:58";5844397494
"2025-09-22 20:01:20";6012162006
"2024-08-31 16:15:43";6041504217
"2025-09-05 03:12:40";6135289987
"2024-09-22 23:15:40";6223057019
"2025-11-30 10:41:13";6259293472
"2024-07-17 09:41:25";6473560721
"2025-12-04 03:40:19";6527756897
"2025-11-02 07:04:27";6640832717
"2024-06-25 21:48:32";6704007799
"2024-09-20 14:10:48";6724287399
"2025-02-16 17:24:14";6835014847
"2025-02-08 12:17:45";6890911833
"2025-02-11 06:14:17";6937210546
"2025-11-12 00:17:14";7043051646
"2025-04-18 15:01:54";7115465994
"2025-05-13 21:33:22";7405431204
"2025-01-14 02:37:01";7464855586
"2025-05-13 17:52:36";7594576222
"2024-11-21 20:52:55";7762742968
"2025-05-20 19:17:51";7785537941
"2024-07-16 12:32:36";7810332818
"2025-07-22 10:00:07";7908091864
"2024-07-14 19:05:25";8031178590
"2024-10-06 18:16:34";8101360081
"2025-02-28 20:23:11";8270738513
"2024-11-19 02:06:02";8282172970
"2024-07-12 05:27:09";8334758150
"2025-11-26 17:22:37";8343206978
"2025-05-02 08:49:16";8530776676
"2025-07-27 23:06:00";8549184203
"2024-09-19 18:00:34";8599898839
"2025-07-08 10:07:35";8754284078
"2024-11-17 14:05:19";8783608210
"2025-05-18 21:55:52";8841686510
"2025-09-08 17:34:10";8848293366
"2025-12-17 02:04:41";8894268873
"2025-01-07 14:08:37";9030354079
"2025-03-03 16:20:41";9244632443
"2025-11-09 00:05:45";9268024180
"2024-08-21 23:47:46";9268644975
"2024-09-25 15:39:25";9330611507
"2025-04-09 15:32:32";9577948699
"2025-12-19 06:58:37";9696751551
"2025-05-26 11:05:38";9728061290
"2025-10-17 08:59:40";9746619126
"2024-11-12 22:33:58";9784454089
"2025-05-21 19:47:06";9911098143
"2025-09-21 03:12:29";9914082164
"2025-01-23 16:00:38";11794455265
"2025-12-28 18:23:38";13172623863
"2025-08-11 08:38:24";13841840151
"2025-06-06 23:57:32";14037235642
"2025-04-09 12:52:22";14708465710
"2025-01-27 02:48:16";16533297441
"2024-07-30 16:23:55";16825680080
"2024-12-30 21:05:05";19791759001
"2024-09-24 13:25:51";20398952958
"2025-03-01 04:36:36";20509280322
"2025-04-11 15:06:34";20597228145
"2025-01-26 13:31:14";21730635663
"2024-10-23 07:33:03";23352161101
"2025-04-24 13:04:24";23604164856
"2024-12-13 21:35:58";23605670949
"2025-02-27 16:33:26";24925741675
"2025-10-15 06:39:32";25357770301
"2025-04-04 14:54:49";26216410292
"2025-03-05 14:30:56";26707042495
