"Id_receta";"Fecha_emision_receta";"Rotulo_receta";"Tipo_tratamiento_receta";"Replica_receta";"Tratamiento_prolongado_receta";"cliente_DNI_cliente";"M�dico_numMatr�cula"
1;"2023-01-06 03:22:48";"";"terapia de masajes";"simple";0;94889056;594904
2;"2023-02-25 12:50:01";"Instituto de Salud Pública de Córdoba";"";"simple";0;17295903;374332
3;"2023-02-19 15:20:25";"Instituto de Salud Pública de Córdoba";"";"simple";1;13612803;126345
4;"2023-02-28 15:49:33";"Hospital General de Buenos Aires";"acupuntura";"simple";0;21611713;109678
5;"2023-01-01 01:51:17";"Centro Médico Rosario";"antibi�tico";"triplicada";0;71015624;126345
6;"2023-02-22 15:11:09";"Sanatorio Belgrano";"";"simple";1;45219102;399256
7;"2023-01-05 07:32:54";"";"psicotr�pico";"archivada";0;50635048;485716
8;"2023-02-28 00:58:59";"Instituto de Salud Pública de Córdoba";"medicación";"simple";0;99243506;520636
9;"2023-01-03 21:37:55";"";"terapia de masajes";"simple";0;31134978;331300
10;"2023-01-04 14:22:29";"Centro Médico Rosario";"psicotr�pico";"duplicada";0;80355727;126345
11;"2023-02-28 10:52:57";"Instituto de Salud Pública de Córdoba";"tratamiento homeopático";"simple";0;45020343;302296
12;"2023-02-21 23:16:47";"";"terapia ocupacional";"simple";0;52027759;290626
13;"2023-01-03 18:26:50";"";"acupuntura";"simple";1;14495567;392398
14;"2023-02-21 09:52:02";"Centro Médico Rosario";"tratamiento con láser";"simple";0;98178653;232366
15;"2023-02-14 12:06:25";"Instituto de Salud Pública de Córdoba";"antibi�tico";"triplicada";0;38398462;211966
16;"2023-02-17 09:30:29";"";"terapia física";"simple";0;16533826;112288
17;"2023-02-25 22:39:02";"Hospital General de Buenos Aires";"terapia de grupo";"simple";0;85789200;444700
18;"2023-02-19 22:51:00";"Hospital General de Buenos Aires";"tratamiento con láser";"simple";0;36508447;515662
19;"2023-02-23 15:01:10";"Sanatorio Belgrano";"tratamiento con láser";"simple";0;65923387;133180
20;"2023-01-01 21:52:33";"";"terapia de masajes";"simple";0;24010922;465256
21;"2024-06-02 16:40:53";"";"psicotr�pico";"duplicada";0;62414730;480028
22;"2024-05-28 17:45:21";"Centro Médico Rosario";"cirugía";"simple";0;89647534;126345
23;"2024-05-14 07:33:05";"Instituto de Salud Pública de Córdoba";"medicación";"simple";0;62414730;116860
24;"2024-05-17 12:21:50";"Hospital General de Buenos Aires";"terapia ocupacional";"simple";0;38843283;543256
25;"2024-05-28 02:09:35";"Hospital General de Buenos Aires";"antibi�tico";"triplicada";0;70866611;458254
26;"2024-06-02 21:02:27";"Centro Médico Rosario";"terapia cognitivo-conductual";"simple";0;64359320;352180
27;"2024-06-07 13:15:57";"Centro Médico Rosario";"terapia física";"simple";0;66214637;161842
28;"2024-05-22 14:47:21";"Hospital General de Buenos Aires";"terapia de grupo";"simple";0;34988337;576580
29;"2024-05-22 19:05:43";"Sanatorio Belgrano";"tratamiento homeopático";"simple";0;20448968;275518
30;"2024-05-16 12:58:40";"";"terapia de masajes";"simple";0;34973301;571882
31;"2024-05-24 05:17:04";"Centro Médico Rosario";"terapia cognitivo-conductual";"simple";0;22131187;540292
32;"2024-06-07 07:00:27";"";"tratamiento homeopático";"simple";0;68511262;289426
33;"2024-06-05 19:12:03";"";"terapia de grupo";"simple";0;38201425;145150
34;"2024-05-20 00:09:49";"Hospital General de Buenos Aires";"psicotr�pico";"triplicada";0;20268046;582544
35;"2024-05-16 09:48:45";"Centro Médico Rosario";"psicotr�pico";"archivada";0;13653635;202984
36;"2024-05-19 22:48:06";"Hospital General de Buenos Aires";"";"simple";0;36508447;411112
37;"2024-06-07 12:42:46";"";"tratamiento homeopático";"simple";0;31725297;268678
38;"2024-06-07 06:30:05";"";"cirugía";"simple";0;84628638;186670
39;"2024-06-01 02:16:58";"Instituto de Salud Pública de Córdoba";"terapia ocupacional";"simple";0;53148138;484504
40;"2024-05-14 21:40:40";"";"medicación";"simple";0;58133538;328246
41;"2024-06-02 02:51:21";"";"tratamiento homeopático";"simple";0;53440840;406390
42;"2024-06-01 12:27:28";"";"terapia ocupacional";"simple";0;76551366;424786
43;"2024-05-16 05:07:58";"Hospital General de Buenos Aires";"terapia física";"simple";1;88401009;108556
44;"2024-06-02 07:02:49";"Clínica San Martín";"tratamiento con láser";"simple";1;35788571;143224
45;"2024-05-21 22:38:44";"";"";"simple";0;35446298;538222
46;"2024-05-28 13:32:10";"";"terapia cognitivo-conductual";"simple";0;20052459;565378
47;"2024-06-05 09:29:19";"";"medicación";"simple";0;48184043;467506
48;"2024-06-05 15:20:01";"";"psicotr�pico";"triplicada";0;21467318;552724
49;"2024-05-15 15:21:12";"";"terapia ocupacional";"simple";0;79460705;581350
50;"2024-05-23 14:31:57";"Centro Médico Rosario";"antibi�tico";"archivada";0;25511741;558022
51;"2024-06-01 07:40:53";"";"psicotr�pico";"archivada";0;54560993;309874
52;"2024-06-04 18:57:01";"Instituto de Salud Pública de Córdoba";"psicotr�pico";"duplicada";0;30520397;293008
53;"2024-05-29 20:34:17";"Sanatorio Belgrano";"antibi�tico";"triplicada";0;90136395;543256
54;"2024-06-01 12:25:27";"Sanatorio Belgrano";"cirugía";"simple";0;89041653;409594
55;"2024-05-14 01:50:11";"Clínica San Martín";"cirugía";"simple";0;52467275;301792
56;"2024-05-22 07:35:30";"Hospital General de Buenos Aires";"terapia de grupo";"simple";0;89715979;220750
57;"2024-06-03 09:58:25";"Sanatorio Belgrano";"terapia cognitivo-conductual";"simple";0;70573301;384004
58;"2024-06-07 10:01:09";"Instituto de Salud Pública de Córdoba";"terapia ocupacional";"simple";1;90136395;416500
59;"2024-05-27 09:15:35";"";"medicación";"simple";0;85196275;548182
60;"2024-05-26 08:13:37";"";"psicotr�pico";"duplicada";0;65862283;483160
61;"2024-05-25 11:55:35";"Clínica San Martín";"antibi�tico";"duplicada";0;32603673;363022
62;"2024-06-04 21:36:38";"";"terapia de masajes";"simple";0;27446275;453310
63;"2024-05-24 07:18:33";"Centro Médico Rosario";"terapia de masajes";"simple";0;79642191;155296
64;"2024-05-18 14:17:46";"Clínica San Martín";"acupuntura";"simple";0;88546576;355534
65;"2024-05-17 13:44:16";"";"acupuntura";"simple";0;79131508;336550
66;"2024-06-07 11:03:33";"Clínica San Martín";"terapia de masajes";"simple";0;10513053;143224
67;"2024-05-28 17:06:09";"";"terapia de grupo";"simple";0;64558410;302296
