"idTurno";"Empleado_DNI_empleado";"hora_inicio";"hora_fin";"dia_semana"
1;41064457;800;1400;"lunes"
2;89250160;800;1400;"lunes"
3;26314818;1400;2000;"lunes"
4;27547339;1400;2000;"lunes"
5;41064457;800;1400;"martes"
6;89250160;800;1400;"martes"
7;26314818;1400;2000;"martes"
8;27547339;1400;2000;"martes"
9;41064457;800;1400;"miercoles"
10;89250160;800;1400;"miercoles"
11;26314818;1400;2000;"miercoles"
12;27547339;1400;2000;"miercoles"
13;41064457;800;1400;"jueves"
14;89250160;800;1400;"jueves"
15;26314818;1400;2000;"jueves"
16;27547339;1400;2000;"jueves"
17;41064457;800;1400;"viernes"
18;89250160;800;1400;"viernes"
19;26314818;1400;2000;"viernes"
20;27547339;1400;2000;"viernes"
21;41064457;800;1400;"sabado"
22;89250160;800;1400;"sabado"
23;26314818;1400;2000;"sabado"
24;27547339;1400;2000;"sabado"
25;33509814;800;1400;"lunes"
26;31148148;800;1400;"lunes"
27;35745993;1400;2000;"lunes"
28;63172844;1400;2000;"lunes"
29;33509814;800;1400;"martes"
30;31148148;800;1400;"martes"
31;35745993;1400;2000;"martes"
32;63172844;1400;2000;"martes"
33;33509814;800;1400;"miercoles"
34;31148148;800;1400;"miercoles"
35;35745993;1400;2000;"miercoles"
36;63172844;1400;2000;"miercoles"
37;33509814;800;1400;"jueves"
38;31148148;800;1400;"jueves"
39;35745993;1400;2000;"jueves"
40;63172844;1400;2000;"jueves"
41;33509814;800;1400;"viernes"
42;31148148;800;1400;"viernes"
43;35745993;1400;2000;"viernes"
44;63172844;1400;2000;"viernes"
45;33509814;800;1400;"sabado"
46;31148148;800;1400;"sabado"
47;35745993;1400;2000;"sabado"
48;63172844;1400;2000;"sabado"
49;17375704;800;1400;"lunes"
50;39109268;800;1400;"lunes"
51;73232999;1400;2000;"lunes"
52;88178025;1400;2000;"lunes"
53;17375704;800;1400;"martes"
54;39109268;800;1400;"martes"
55;73232999;1400;2000;"martes"
56;88178025;1400;2000;"martes"
57;17375704;800;1400;"miercoles"
58;39109268;800;1400;"miercoles"
59;73232999;1400;2000;"miercoles"
60;88178025;1400;2000;"miercoles"
61;17375704;800;1400;"jueves"
62;39109268;800;1400;"jueves"
63;73232999;1400;2000;"jueves"
64;88178025;1400;2000;"jueves"
65;17375704;800;1400;"viernes"
66;39109268;800;1400;"viernes"
67;73232999;1400;2000;"viernes"
68;88178025;1400;2000;"viernes"
69;17375704;800;1400;"sabado"
70;39109268;800;1400;"sabado"
71;73232999;1400;2000;"sabado"
72;88178025;1400;2000;"sabado"
73;37085036;800;1400;"lunes"
74;74873107;800;1400;"lunes"
75;28344177;1400;2000;"lunes"
76;26085616;1400;2000;"lunes"
77;37085036;800;1400;"martes"
78;74873107;800;1400;"martes"
79;28344177;1400;2000;"martes"
80;26085616;1400;2000;"martes"
81;37085036;800;1400;"miercoles"
82;74873107;800;1400;"miercoles"
83;28344177;1400;2000;"miercoles"
84;26085616;1400;2000;"miercoles"
85;37085036;800;1400;"jueves"
86;74873107;800;1400;"jueves"
87;28344177;1400;2000;"jueves"
88;26085616;1400;2000;"jueves"
89;37085036;800;1400;"viernes"
90;74873107;800;1400;"viernes"
91;28344177;1400;2000;"viernes"
92;26085616;1400;2000;"viernes"
93;37085036;800;1400;"sabado"
94;74873107;800;1400;"sabado"
95;28344177;1400;2000;"sabado"
96;26085616;1400;2000;"sabado"
97;62616972;800;1400;"lunes"
98;69895592;800;1400;"lunes"
99;61243458;1400;2000;"lunes"
100;46024087;1400;2000;"lunes"
101;62616972;800;1400;"martes"
102;69895592;800;1400;"martes"
103;61243458;1400;2000;"martes"
104;46024087;1400;2000;"martes"
105;62616972;800;1400;"miercoles"
106;69895592;800;1400;"miercoles"
107;61243458;1400;2000;"miercoles"
108;46024087;1400;2000;"miercoles"
109;62616972;800;1400;"jueves"
110;69895592;800;1400;"jueves"
111;61243458;1400;2000;"jueves"
112;46024087;1400;2000;"jueves"
113;62616972;800;1400;"viernes"
114;69895592;800;1400;"viernes"
115;61243458;1400;2000;"viernes"
116;46024087;1400;2000;"viernes"
117;62616972;800;1400;"sabado"
118;69895592;800;1400;"sabado"
119;61243458;1400;2000;"sabado"
120;46024087;1400;2000;"sabado"
121;11968491;800;1400;"lunes"
122;36677034;800;1400;"lunes"
123;56253811;1400;2000;"lunes"
124;47607469;1400;2000;"lunes"
125;11968491;800;1400;"martes"
126;36677034;800;1400;"martes"
127;56253811;1400;2000;"martes"
128;47607469;1400;2000;"martes"
129;11968491;800;1400;"miercoles"
130;36677034;800;1400;"miercoles"
131;56253811;1400;2000;"miercoles"
132;47607469;1400;2000;"miercoles"
133;11968491;800;1400;"jueves"
134;36677034;800;1400;"jueves"
135;56253811;1400;2000;"jueves"
136;47607469;1400;2000;"jueves"
137;11968491;800;1400;"viernes"
138;36677034;800;1400;"viernes"
139;56253811;1400;2000;"viernes"
140;47607469;1400;2000;"viernes"
141;11968491;800;1400;"sabado"
142;36677034;800;1400;"sabado"
143;56253811;1400;2000;"sabado"
144;47607469;1400;2000;"sabado"
145;34737957;800;1400;"lunes"
146;33713811;800;1400;"lunes"
147;19202323;1400;2000;"lunes"
148;52582097;1400;2000;"lunes"
149;34737957;800;1400;"martes"
150;33713811;800;1400;"martes"
151;19202323;1400;2000;"martes"
152;52582097;1400;2000;"martes"
153;34737957;800;1400;"miercoles"
154;33713811;800;1400;"miercoles"
155;19202323;1400;2000;"miercoles"
156;52582097;1400;2000;"miercoles"
157;34737957;800;1400;"jueves"
158;33713811;800;1400;"jueves"
159;19202323;1400;2000;"jueves"
160;52582097;1400;2000;"jueves"
161;34737957;800;1400;"viernes"
162;33713811;800;1400;"viernes"
163;19202323;1400;2000;"viernes"
164;52582097;1400;2000;"viernes"
165;34737957;800;1400;"sabado"
166;33713811;800;1400;"sabado"
167;19202323;1400;2000;"sabado"
168;52582097;1400;2000;"sabado"
169;59255413;800;1400;"lunes"
170;43975988;800;1400;"lunes"
171;77943496;1400;2000;"lunes"
172;64505267;1400;2000;"lunes"
173;59255413;800;1400;"martes"
174;43975988;800;1400;"martes"
175;77943496;1400;2000;"martes"
176;64505267;1400;2000;"martes"
177;59255413;800;1400;"miercoles"
178;43975988;800;1400;"miercoles"
179;77943496;1400;2000;"miercoles"
180;64505267;1400;2000;"miercoles"
181;59255413;800;1400;"jueves"
182;43975988;800;1400;"jueves"
183;77943496;1400;2000;"jueves"
184;64505267;1400;2000;"jueves"
185;59255413;800;1400;"viernes"
186;43975988;800;1400;"viernes"
187;77943496;1400;2000;"viernes"
188;64505267;1400;2000;"viernes"
